frame.time_relative,frame.protocols,ip.version,_ws.col.protocol,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ipv6.src,ipv6.dst,tcp.analysis,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,icmpv6.code,icmpv6.type,udp.length,udp.port,icmp.code,icmp.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.user_agent,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,rdp.negReq.selectedProtocol,data,encrypted
4.936968,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x9458,0x02,False,True,False,128.0,6.0,0xbf70,192.168.50.160,20.190.159.0,40.0,,,1.0,59930.0,59930.0,443.0,1718.0,4511.0,20.0,0x0010,False,False,False,False,True,False,False,261888.0,0xe377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.940942,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x540e,0x02,False,True,False,112.0,6.0,0x0fbb,20.190.159.0,192.168.50.160,40.0,,,1.0,443.0,443.0,59930.0,4511.0,1718.0,20.0,0x0010,False,False,False,False,True,False,False,4194560.0,0xa775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.940942,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x5c9b,0x02,False,True,False,112.0,6.0,0x072e,20.190.159.0,192.168.50.160,40.0,,,1.0,443.0,443.0,59931.0,4408.0,1727.0,20.0,0x0010,False,False,False,False,True,False,False,4194560.0,0x2cd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.940942,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x1aac,0x02,False,True,False,112.0,6.0,0x491d,20.190.159.0,192.168.50.160,40.0,,,1.0,443.0,443.0,59932.0,4408.0,1728.0,20.0,0x0010,False,False,False,False,True,False,False,4194560.0,0x2d87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.940942,eth:ethertype:ip:tcp:tls,4.0,TLSv1.3,20.0,0x5c9c,0x02,False,True,False,112.0,6.0,0x06c6,20.190.159.0,192.168.50.160,143.0,,,1.0,443.0,443.0,59931.0,4408.0,1727.0,20.0,0x0018,False,False,False,True,True,False,False,4194560.0,0x7e1b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.940942,eth:ethertype:ip:tcp:tls,4.0,TLSv1.3,20.0,0x1aad,0x02,False,True,False,112.0,6.0,0x48b5,20.190.159.0,192.168.50.160,143.0,,,1.0,443.0,443.0,59932.0,4408.0,1728.0,20.0,0x0018,False,False,False,True,True,False,False,4194560.0,0x3f86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.941076,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x9459,0x02,False,True,False,128.0,6.0,0xbf6f,192.168.50.160,20.190.159.0,40.0,,,1.0,59931.0,59931.0,443.0,1727.0,4511.0,20.0,0x0010,False,False,False,False,True,False,False,262144.0,0x686e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.941092,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x945a,0x02,False,True,False,128.0,6.0,0xbf6e,192.168.50.160,20.190.159.0,40.0,,,1.0,59932.0,59932.0,443.0,1728.0,4511.0,20.0,0x0010,False,False,False,False,True,False,False,262144.0,0x6921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.949809,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xcd6f,0x02,False,True,False,57.0,17.0,0x4b07,66.22.243.52,192.168.50.160,227.0,,,,,,,,,,,,,,,,,,,,,,207.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f7227d82ce59c00002466bede000110929002cb798744e0ded9663890e3907080d61a4ce7ea20193aa75f3abc181d2066455456226a7c94ded703701f651d4227351deaf45d6c077cc13cfdebeeb886bd494729bd58e94c67ce18b26154f3a7a1cf8253c27d2c4048f71e3521faa0908a395f26c159acb037e59ad3c73e8015e82b557958ac36b0d1da0c68d8d36f39ce096bc93b472aa64532fee2466a08a6936bd56b3fa1735e9fdab8958e35415c7e34591d854c8d341f8e3c743772c86ee19b26459809,0
4.953526,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x519d,0x02,False,True,False,112.0,6.0,0x122c,20.190.159.0,192.168.50.160,40.0,,,1.0,443.0,443.0,59929.0,4408.0,1726.0,20.0,0x0010,False,False,False,False,True,False,False,4194560.0,0x1c3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
